"N","lambda","rho","truth","rep","status","naive_model","naive_reported_rmse","naive_true_rmse","naive_true_mae","naive_optimism_rmse","naive_TPR","naive_FPR","naive_F1","nested_top_model","nested_reported_rmse","nested_true_rmse","nested_true_mae","nested_optimism_rmse","nested_TPR","nested_FPR","nested_F1","nested_modal_true_rmse","nested_modal_true_mae","nested_modal_optimism","nested_modal_TPR","nested_modal_FPR","nested_modal_F1"
200,0.85,0.4,"M0",74,"ok","M0",0.996619709191665,1.00079541418276,0.796485007623477,-0.00417570499109166,NA,0,NA,"M0",1.01231510452768,1.00086731985417,0.796452326592547,0.0114477846735164,NA,0.166666666666667,0,1.00079541418276,0.796485007623477,0.0115196903449277,NA,0,NA
200,0.85,0.4,"M0",75,"ok","M2",1.02619561354843,1.0351691317756,0.824441485866827,-0.00897351822716708,NA,0.333333333333333,0,"M2",1.03303265351903,1.03544727946919,0.824661053983577,-0.00241462595016206,NA,0.366666666666667,0,1.0351691317756,0.824441485866827,-0.00213647825656538,NA,0.333333333333333,0
200,0.85,0.4,"M0",76,"ok","M4",1.00238365293231,1.00131778601171,0.794813216250462,0.00106586692059762,NA,0.666666666666667,0,"M4",1.01041565658132,0.999337461414988,0.793249567982855,0.0110781951663294,NA,0.5,0,1.00131778601171,0.794813216250462,0.00909787056960742,NA,0.666666666666667,0
200,0.85,0.4,"M0",77,"ok","M0",1.05618403603637,1.05610269776581,0.841902830170865,8.13382705575627e-05,NA,0,NA,"M0",1.05693875505356,1.05763066784842,0.843152220947135,-0.000691912794865024,NA,0.133333333333333,0,1.05610269776581,0.841902830170865,0.000836057287743941,NA,0,NA
200,0.85,0.4,"M0",78,"ok","M0",1.01960936439109,1.01023079227566,0.809815649532681,0.00937857211542692,NA,0,NA,"M0",1.02196434418511,1.01129968929849,0.810975280588385,0.0106646548866247,NA,0.1,0,1.01023079227566,0.809815649532681,0.0117335519094504,NA,0,NA
200,0.85,0.4,"M0",79,"ok","M0",0.995288507631623,1.03421748572741,0.827153573829428,-0.0389289780957892,NA,0,NA,"M0",1.00740617763066,1.03418498796073,0.827129354517638,-0.0267788103300652,NA,0.1,0,1.03421748572741,0.827153573829428,-0.0268113080967511,NA,0,NA
200,0.85,0.4,"M0",80,"ok","M1",1.0815612473851,1.01356881332579,0.80141543758988,0.0679924340593072,NA,0.333333333333333,0,"M0",1.08715757122416,1.01288644007376,0.801195927984697,0.0742711311504038,NA,0.166666666666667,0,1.01260224308911,0.801247891775206,0.0745553281350477,NA,0,NA
200,0.85,0.4,"M0",81,"ok","M0",1.03059480408948,1.02417659852321,0.819736514642574,0.00641820556626826,NA,0,NA,"M0",1.03548430488514,1.02417659852321,0.819736514642574,0.0113077063619269,NA,0,NA,1.02417659852321,0.819736514642574,0.0113077063619269,NA,0,NA
200,0.85,0.4,"M0",82,"ok","M0",1.00264052207279,1.02738545400823,0.816114942093764,-0.0247449319354425,NA,0,NA,"M1",1.00172251186059,1.02924856804566,0.817236291220235,-0.0275260561850652,NA,0.2,0,1.03049064407061,0.817983857304549,-0.0287681322100166,NA,0.333333333333333,0
200,0.85,0.4,"M0",83,"ok","M2",0.979920665551051,1.01779647060025,0.815496947140198,-0.0378758050491982,NA,0.333333333333333,0,"M2",0.995236860266028,1.0186852902628,0.81642104323668,-0.0234484299967767,NA,0.4,0,1.01779647060025,0.815496947140198,-0.0225596103342204,NA,0.333333333333333,0
