"tau","core_model","true_rmse","true_mae","pE","pQ","pV","N","lambda","rho","truth","rep"
0.8,"M0",1.01212803854456,0.809213883789723,0,0.1,0,200,0.7,0,"M0",68
0.6,"M0",1.04101130518407,0.831245342213754,0,0.3,0.2,200,0.7,0,"M0",69
0.7,"M0",1.04101130518407,0.831245342213754,0,0.3,0.2,200,0.7,0,"M0",69
0.8,"M0",1.04101130518407,0.831245342213754,0,0.3,0.2,200,0.7,0,"M0",69
0.6,"M0",1.03640457551463,0.826788833863352,0.2,0.5,0.1,200,0.7,0,"M0",70
0.7,"M0",1.03640457551463,0.826788833863352,0.2,0.5,0.1,200,0.7,0,"M0",70
0.8,"M0",1.03640457551463,0.826788833863352,0.2,0.5,0.1,200,0.7,0,"M0",70
0.6,"M0",1.0082478065564,0.800788858341608,0,0.3,0,200,0.7,0,"M0",71
0.7,"M0",1.0082478065564,0.800788858341608,0,0.3,0,200,0.7,0,"M0",71
0.8,"M0",1.0082478065564,0.800788858341608,0,0.3,0,200,0.7,0,"M0",71
0.6,"M0",1.02189337626336,0.809840981999191,0,0,0,200,0.7,0,"M0",72
0.7,"M0",1.02189337626336,0.809840981999191,0,0,0,200,0.7,0,"M0",72
0.8,"M0",1.02189337626336,0.809840981999191,0,0,0,200,0.7,0,"M0",72
0.6,"M0",1.01304335973828,0.808408097737482,0,0,0,200,0.7,0,"M0",73
0.7,"M0",1.01304335973828,0.808408097737482,0,0,0,200,0.7,0,"M0",73
0.8,"M0",1.01304335973828,0.808408097737482,0,0,0,200,0.7,0,"M0",73
0.6,"M0",1.05800861409386,0.843957693211065,0.1,0.4,0.3,200,0.7,0,"M0",74
0.7,"M0",1.05800861409386,0.843957693211065,0.1,0.4,0.3,200,0.7,0,"M0",74
0.8,"M0",1.05800861409386,0.843957693211065,0.1,0.4,0.3,200,0.7,0,"M0",74
0.6,"M0",1.04350969199351,0.833044157852579,0.3,0.2,0.2,200,0.7,0,"M0",75
0.7,"M0",1.04350969199351,0.833044157852579,0.3,0.2,0.2,200,0.7,0,"M0",75
0.8,"M0",1.04350969199351,0.833044157852579,0.3,0.2,0.2,200,0.7,0,"M0",75
0.6,"M6",1.03930108478368,0.830933335066871,0,0.9,0.9,200,0.7,0,"M0",76
0.7,"M6",1.03930108478368,0.830933335066871,0,0.9,0.9,200,0.7,0,"M0",76
0.8,"M6",1.03930108478368,0.830933335066871,0,0.9,0.9,200,0.7,0,"M0",76
0.6,"M0",1.03270836969265,0.815931689252567,0.2,0.5,0.3,200,0.7,0,"M0",77
0.7,"M0",1.03270836969265,0.815931689252567,0.2,0.5,0.3,200,0.7,0,"M0",77
0.8,"M0",1.03270836969265,0.815931689252567,0.2,0.5,0.3,200,0.7,0,"M0",77
0.6,"M3",1.02842577571257,0.818765815023384,0.2,0,0.8,200,0.7,0,"M0",78
0.7,"M3",1.02842577571257,0.818765815023384,0.2,0,0.8,200,0.7,0,"M0",78
0.8,"M3",1.02842577571257,0.818765815023384,0.2,0,0.8,200,0.7,0,"M0",78
0.6,"M4",1.02482459703094,0.812635208771912,0.6,0.6,0.1,200,0.7,0,"M0",79
0.7,"M0",1.02368744577459,0.812627741540424,0.6,0.6,0.1,200,0.7,0,"M0",79
0.8,"M0",1.02368744577459,0.812627741540424,0.6,0.6,0.1,200,0.7,0,"M0",79
0.6,"M0",1.01105315209656,0.803700959554524,0.4,0,0.1,200,0.7,0,"M0",80
0.7,"M0",1.01105315209656,0.803700959554524,0.4,0,0.1,200,0.7,0,"M0",80
